air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_power,temp_diff,overstrain,machine_failure
298.1,308.6,1551,42.8,0,66382.8,10.5,0.0,0
298.2,308.7,1408,46.3,3,65190.4,10.5,138.9,0
298.1,308.5,1498,49.4,5,74001.2,10.4,247.0,0
298.2,308.6,1433,39.5,7,56603.5,10.4,276.5,0
298.2,308.7,1408,40.0,9,56320.0,10.5,360.0,0
298.1,308.6,1425,41.9,11,59707.5,10.5,460.9,0
298.1,308.6,1558,42.4,14,66059.2,10.5,593.6,0
298.1,308.6,1527,40.2,16,61385.4,10.5,643.2,0
298.3,308.7,1667,28.6,18,47676.2,10.4,514.8,0
298.5,309.0,1741,28.0,21,48748.0,10.5,588.0,0
298.4,308.9,1782,23.9,24,42589.8,10.5,573.6,0
298.6,309.1,1423,44.3,29,63038.9,10.5,1284.7,0
298.6,309.1,1339,51.1,34,68422.9,10.5,1737.4,0
298.6,309.2,1742,30.0,37,52260.0,10.6,1110.0,0
298.6,309.2,2035,19.6,40,39886.0,10.6,784.0,0
298.6,309.2,1542,48.4,42,74632.8,10.6,2032.8,0
298.6,309.2,1311,46.6,44,61092.6,10.6,2050.4,0
298.7,309.2,1410,45.6,47,64296.0,10.5,2143.2,0
298.8,309.2,1306,54.5,50,71177.0,10.4,2725.0,0
298.9,309.3,1632,32.5,55,53040.0,10.4,1787.5,0
298.9,309.3,1375,42.7,58,58712.5,10.4,2476.6,0
298.8,309.3,1450,44.8,63,64960.0,10.5,2822.4,0
298.9,309.3,1581,30.7,65,48536.7,10.4,1995.5,0
299.0,309.4,1758,25.7,68,45180.6,10.4,1747.6,0
299.0,309.4,1561,37.3,70,58225.3,10.4,2611.0,0
299.0,309.5,1861,23.3,73,43361.3,10.5,1700.9,0
299.1,309.5,1512,39.0,75,58968.0,10.4,2925.0,0
299.1,309.4,1811,24.6,77,44550.6,10.3,1894.2,0
299.1,309.4,1439,44.2,82,63603.8,10.3,3624.4,0
299.0,309.4,1693,30.1,84,50959.3,10.4,2528.4,0
299.1,309.5,1339,48.2,86,64539.8,10.4,4145.2,0
299.0,309.4,1798,25.5,89,45849.0,10.4,2269.5,0
299.0,309.4,1419,48.3,91,68537.7,10.4,4395.3,0
298.9,309.3,1665,32.5,93,54112.5,10.4,3022.5,0
298.8,309.1,1559,34.7,95,54097.3,10.3,3296.5,0
298.8,309.2,1452,48.6,98,70567.2,10.4,4762.8,0
298.9,309.2,1581,36.7,101,58022.7,10.3,3706.7,0
298.8,309.1,1439,39.2,104,56408.8,10.3,4076.8,0
298.9,309.2,1379,50.7,106,69915.3,10.3,5374.2,0
298.8,309.1,1350,52.5,111,70875.0,10.3,5827.5,0
298.8,309.1,1362,45.4,113,61834.8,10.3,5130.2,0
298.8,309.1,1368,50.8,115,69494.4,10.3,5842.0,0
298.8,309.1,1368,49.1,117,67168.8,10.3,5744.7,0
298.8,309.2,1372,48.5,120,66542.0,10.4,5820.0,0
298.8,309.1,1472,47.5,125,69920.0,10.3,5937.5,0
298.8,309.1,1489,49.1,128,73109.9,10.3,6284.8,0
298.7,309.0,1843,25.8,130,47549.4,10.3,3354.0,0
298.8,309.1,1418,46.3,133,65653.4,10.3,6157.9,0
298.8,309.2,1425,53.9,135,76807.5,10.4,7276.5,0
298.9,309.2,1412,44.1,140,62269.2,10.3,6174.0,0
298.9,309.1,2861,4.6,143,13160.6,10.2,657.8,1
298.9,309.1,1383,54.9,145,75926.7,10.2,7960.5,0
298.8,309.0,1497,43.8,147,65568.6,10.2,6438.6,0
298.7,309.0,1565,35.1,152,54931.5,10.3,5335.2,0
298.7,309.0,1691,30.1,154,50899.1,10.3,4635.4,0
298.8,309.1,1512,40.7,156,61538.4,10.3,6349.2,0
298.8,309.1,1477,42.4,158,62624.8,10.3,6699.2,0
298.8,309.1,1513,40.3,160,60973.9,10.3,6448.0,0
298.8,309.0,1661,29.5,162,48999.5,10.2,4779.0,0
298.8,309.1,1378,54.4,165,74963.2,10.3,8976.0,0
298.8,309.1,1393,52.6,167,73271.8,10.3,8784.2,0
298.8,309.0,1592,38.2,169,60814.4,10.2,6455.8,0
298.8,309.0,1829,22.9,172,41884.1,10.2,3938.8,0
298.9,309.0,1812,25.9,174,46930.8,10.1,4506.6,0
299.0,309.1,1523,38.6,177,58787.8,10.1,6832.2,0
299.0,309.1,1394,45.1,179,62869.4,10.1,8072.9,0
298.9,308.9,1679,28.7,181,48187.3,10.0,5194.7,0
298.8,308.9,1466,44.1,184,64650.6,10.1,8114.4,0
298.8,308.9,1527,32.4,189,49474.8,10.1,6123.6,0
298.9,309.0,1410,65.7,191,92637.0,10.1,12548.7,1
298.9,309.0,1924,22.6,193,43482.4,10.1,4361.8,0
298.9,309.1,1452,45.5,196,66066.0,10.2,8918.0,0
298.9,309.1,1369,44.4,198,60783.6,10.2,8791.2,0
299.0,309.1,1592,35.0,200,55720.0,10.1,7000.0,0
298.9,309.0,1601,32.3,202,51712.3,10.1,6524.6,0
298.8,308.9,1379,46.7,204,64399.3,10.1,9526.8,0
298.8,308.9,1461,47.9,206,69981.9,10.1,9867.4,0
298.8,308.9,1455,41.3,208,60091.5,10.1,8590.4,1
298.8,308.9,1398,51.5,0,71997.0,10.1,0.0,0
298.8,308.9,1402,37.9,2,53135.8,10.1,75.8,0
298.8,308.8,1445,49.9,4,72105.5,10.0,199.6,0
298.9,308.9,1450,47.5,9,68875.0,10.0,427.5,0
298.9,308.9,1453,40.8,11,59282.4,10.0,448.8,0
299.0,309.0,1469,40.1,13,58906.9,10.0,521.3,0
298.9,308.9,1422,47.6,15,67687.2,10.0,714.0,0
299.0,309.0,1804,26.8,17,48347.2,10.0,455.6,0
299.0,309.0,1436,43.9,20,63040.4,10.0,878.0,0
299.0,309.0,1544,31.8,25,49099.2,10.0,795.0,0
299.0,309.0,1419,45.2,27,64138.8,10.0,1220.4,0
298.9,308.9,1487,39.5,30,58736.5,10.0,1185.0,0
298.9,308.9,1753,25.8,33,45227.4,10.0,851.4,0
298.9,308.9,1830,24.9,35,45567.0,10.0,871.5,0
298.9,308.9,1727,27.1,37,46801.7,10.0,1002.7,0
299.1,309.0,1450,43.0,40,62350.0,9.9,1720.0,0
299.0,308.9,1622,31.9,42,51741.8,9.9,1339.8,0
299.0,309.0,1351,52.2,44,70522.2,10.0,2296.8,0
299.0,309.0,1575,35.3,47,55597.5,10.0,1659.1,0
298.9,308.9,1750,29.9,50,52325.0,10.0,1495.0,0
298.9,308.8,1529,32.7,53,49998.3,9.9,1733.1,0
298.8,308.8,1523,44.4,55,67621.2,10.0,2442.0,0
298.8,308.9,1852,25.0,57,46300.0,10.1,1425.0,0
298.8,308.8,1991,20.7,59,41213.7,10.0,1221.3,0
298.8,308.8,1555,40.6,61,63133.0,10.0,2476.6,0
298.8,308.8,1441,40.5,63,58360.5,10.0,2551.5,0
298.8,308.7,1450,43.4,66,62930.0,9.9,2864.4,0
298.8,308.7,1591,31.1,68,49480.1,9.9,2114.8,0
298.8,308.7,1445,48.5,70,70082.5,9.9,3395.0,0
298.8,308.8,1497,46.8,72,70059.6,10.0,3369.6,0
298.9,308.8,1621,32.7,75,53006.7,9.9,2452.5,0
298.9,308.7,1572,34.1,80,53605.2,9.8,2728.0,0
298.8,308.6,1872,22.5,82,42120.0,9.8,1845.0,0
298.7,308.6,1499,43.5,84,65206.5,9.9,3654.0,0
298.8,308.7,1498,39.5,89,59171.0,9.9,3515.5,0
298.8,308.6,1486,41.9,92,62263.4,9.8,3854.8,0
298.8,308.6,1680,29.4,95,49392.0,9.8,2793.0,0
298.8,308.6,1431,45.7,97,65396.7,9.8,4432.9,0
298.9,308.7,1564,34.1,99,53332.4,9.8,3375.9,0
298.8,308.6,1599,33.0,101,52767.0,9.8,3333.0,0
298.8,308.6,1707,28.1,103,47966.7,9.8,2894.3,0
298.7,308.5,1467,40.7,106,59706.9,9.8,4314.2,0
298.9,308.7,1433,44.7,108,64055.1,9.8,4827.6,0
298.9,308.7,1558,41.2,110,64189.6,9.8,4532.0,0
299.0,308.8,1310,50.7,112,66417.0,9.8,5678.4,0
298.9,308.7,1546,43.4,114,67096.4,9.8,4947.6,0
298.9,308.7,1727,29.4,116,50773.8,9.8,3410.4,0
298.9,308.6,1560,32.2,118,50232.0,9.7,3799.6,0
299.0,308.6,1329,60.5,120,80404.5,9.6,7260.0,0
298.9,308.6,1413,46.5,122,65704.5,9.7,5673.0,0
